,DSSTox_CID,SR-ATAD5,SMILES
0,25680,0.0,Cc1cccc(C)c1OCC(C)N.Cl
1,2748,0.0,CCCCCCCCCCCC(=O)NCCCN(C)C
2,10169,0.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
3,20671,0.0,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
4,6514,0.0,CCCOc1sc(C(=O)N2CCC(c3cc(CN)ccc3F)CC2)c(C)c1Br.Cl
5,28730,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
6,856,0.0,O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br
7,14506,0.0,CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1
8,4378,0.0,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl
9,27303,0.0,C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
10,17532,0.0,CCP(CC)(CC)=[Au]S[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
11,12410,0.0,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
12,24683,0.0,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)([O-])O
13,7638,0.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
14,21312,0.0,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
15,1377,0.0,CC=O
16,5851,0.0,O=C(Nc1ccc2[nH]ccc2c1)c1cc2cc(F)ccc2n1Cc1cccc(F)c1
17,87,0.0,CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
18,9164,0.0,CCN(CC)C(=S)SSC(=S)N(CC)CC
19,26533,0.0,Oc1ccc([Hg]Cl)cc1
20,22070,0.0,CN(C)C(=S)SSC(=S)N(C)C
21,1963,0.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-]
22,3746,0.0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
23,5143,0.0,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1
24,27924,0.0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl
25,18887,0.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl
26,29335,0.0,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
27,7038,0.0,CCN(CC)C(=O)c1cc(S(=O)(=O)Cc2ccccc2)c(N2CCC(c3ccccc3)CC2)cc1N(CC)CCN(C)C.O=C(O)C(F)(F)F
28,16496,0.0,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
29,3281,0.0,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
30,13405,0.0,C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
31,25138,0.0,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1
32,26136,0.0,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1
33,24213,0.0,CCN(Cc1cccnc1)C(=O)c1cccc(Cl)c1[C@]1(C)C(=O)N(Cc2ccc(OC)cc2OC)c2ccc(Cl)cc21.Cl
34,11478,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl
35,2321,0.0,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
36,15291,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
37,4659,0.0,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
38,655,0.0,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4
39,26759,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
40,9676,0.0,N#Cc1nc(Cl)c(Cl)c(Cl)c1Cl
41,22604,0.0,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
42,361,0.0,Cc1cc(=O)oc2cc(N(C)C)ccc12
43,20253,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
44,1117,0.0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
45,27597,0.0,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N
46,5490,0.0,N#Cc1c2ccccc2cc2ccccc12
47,1650,0.0,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
48,28943,0.0,O=C(N/N=C/c1ccccc1O)c1ccncc1
49,6132,0.0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
50,7395,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
51,10745,0.0,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
52,21634,0.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
53,3916,0.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
54,12776,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
55,27091,0.0,CN(C)C(=S)SSC(=S)N(C)C
56,7843,0.0,Nc1ccc2c3c(cccc13)-c1ccccc1-2
57,6709,0.0,CCCCCCCCCCCCN1CCCC1=O
58,25385,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
59,14176,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.[I-]
60,24432,0.0,CO[C@@H]1[C@H](O)C[C@@H](O[C@@H]2C[C@H](Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)O[C@H](C)[C@@H]2OC(=O)O)O[C@@H]1C
61,2522,0.0,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1.Cl
62,28575,0.0,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
63,14867,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
64,26446,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
65,2988,0.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
66,3504,0.0,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
67,25942,0.0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
68,4173,0.0,CC/N=c1/cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C.Cl
69,24930,0.0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
70,23767,0.0,COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1
71,22372,0.0,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-]
72,17204,0.0,OB(O)O[Hg]c1ccccc1
73,28196,0.0,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21
74,1235,0.0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
75,7274,0.0,CN(C[C@@H](CC[N+]12CCC(C3CCCCC3)(CC1)CC2)c1ccc(Cl)c(Cl)c1)C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CS(=O)(=O)[O-]
76,15767,0.0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
77,455,0.0,Oc1ccc([Hg]Cl)cc1
78,2176,0.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
79,5621,0.0,CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)n1ccnc1
80,21492,0.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
81,11869,0.0,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O
82,29150,0.0,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
83,4867,0.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
84,8045,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
85,1816,0.0,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1
86,19688,0.0,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
87,217,0.0,Cc1cc(O)c2c(c1)O[C@@]1(C)CC[C@H]3C(C)(C)CCCC34CO[C@@H]2[C@H]41
88,11118,0.0,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1.Cl
89,29807,0.0,Clc1cc(Cl)c(OCC#CI)cc1Cl
90,5302,0.0,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
91,18312,0.0,CN(C)C(=S)SC(=S)N(C)C
92,26297,0.0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
93,12558,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
94,13896,0.0,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C
95,8716,0.0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
96,4993,0.0,CCCCCCCCn1sccc1=O
97,21191,0.0,Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1
98,6906,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
99,9369,0.0,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.[Na+]
100,25556,0.0,O=[N+]([O-])/C=C/c1ccccc1
101,21812,0.0,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl
102,4510,0.0,CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1
103,27425,0.0,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
104,13177,0.0,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl
105,27784,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
106,26913,0.0,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1
107,6253,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
108,13660,0.0,O=C(Oc1cccc2cccnc12)c1ccccc1
109,25765,0.0,CC1=CC(=O)c2ccccc2C1=O
110,3652,0.0,CC(=O)NC1(c2cccc(F)c2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1.O=C(O)CCC(=O)O
111,3116,0.0,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
112,17724,0.0,Oc1ccc(Cl)cc1Cc1ccccc1
113,24561,0.0,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2]
114,1040,0.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
115,4053,0.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
116,20131,0.0,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
117,24778,0.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
118,25260,0.0,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
119,4246,0.0,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
120,22200,0.0,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1
121,1507,0.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
122,7210,0.0,CN(C)C(=S)SC(=S)N(C)C
123,20444,0.0,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1
124,912,0.0,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
125,7504,0.0,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21
126,28835,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
127,6031,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
128,14370,0.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
129,26640,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
130,5725,0.0,O=C1OC2(c3ccc([O-])cc3Oc3cc([O-])ccc32)c2ccccc21.[Na+].[Na+]
131,16239,0.0,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
132,10310,0.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
133,753,0.0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1
134,23904,0.0,CCCCCCC(C)Nc1ccc(Nc2ccccc2)cc1
135,12145,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
136,14680,0.0,CCCCCCCCCCCCN.Cl
137,26246,0.0,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
138,2832,0.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
139,18699,0.0,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
140,16782,0.0,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O
141,12641,0.0,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
142,27139,0.0,O=C(O)CN(CC(=O)O)CC1=CC2C(=CC1=O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21
143,3439,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
144,2425,0.0,CCCCC(CC)COC(=O)c1ccc(O)cc1
145,4793,0.0,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1
146,20765,0.0,CCCCCCCC/C=C\CCCCCCCCOCCO
147,6632,0.0,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
148,2595,0.0,N#C[Au-]C#N.[K+]
149,21086,0.0,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)C1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
150,29083,0.0,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)C1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
151,9876,0.0,O=C(CCCCCCCCc1cccnc1)N1CCC(C=C(c2ccccc2)c2ccccc2)CC1
152,24372,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
153,27654,0.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
154,6353,0.0,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O
155,264,0.0,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1
156,156,0.0,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
157,561,0.0,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F
158,13528,0.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
